,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,Sin É,53.345976,-6.2695992,€5.90,Robbie Mc Guinness,23/09/2017,Robbie Mc Guinness,23/09/2017,1,,,1,,1,,,,,,,,
,The Quays Bar,53.3456404,-6.2634165,€5.90,Sean O'Sullivan,5/10/2017,Sean O'Sullivan,05/10/2017,,,,,,,,1,,,,,,
,The South William,53.3418781,-6.2626471,€5.90,Daniel Purdy,17/11/2017,Daniel Purdy,17/11/2017,,,1,,,,,,,,,,,
,Sams Bar,53.3404641,-6.2587918,€5.90,Robbie Mc Guinness,30/09/2017,Robbie Mc Guinness,30/09/2017,1,,,,,,,,,,,,,
,Residence,53.3383035,-6.255276,€5.90,Colin O'Callaghan,22/09/2017,Colin O'Callaghan,22/09/2017,,,,1,,,,,,,,,,
,Buskers Bar,53.345832,-6.26051,€6.00,,,,,,,,,,,,,,,,,,
,Bad Ass Cafe,53.345458,-6.2632617,€6.00,,,,,,,,,,,,,,,,,,
,The Norseman,53.3453357,-6.2647857,€6.20,James Bingham,03/11/2017,James Bingham,03/11/2017,,1,,,,,,,,,,,,
,Café en Seine,53.3407261,-6.2586791,€6.30,Robbie Mc Guinness,16/09/2017,Robbie Mc Guinness,9/12/2017,1,,,,,,,,,,,,,
,The Auld Dubliner,53.3455629,-6.2619775,€6.50,Robbie Mc Guinness,28/09/2017,Robbie Mc Guinness,28/09/2017,1,,,,,,,,,,,,,
,The Oliver St John Gogarty,53.3455528,-6.2617095,€6.50,Robbie Mc Guinness,21/09/2017,Robbie Mc Guinness,21/09/2017,1,,,,,,,,,,,,,
,The Temple Bar,53.3454662,-6.2642025,€6.60,James Bingham,8/12/2017,James Bingham,8/12/2017,,1,,,,,,,,,,,,
,The Old Storehouse,53.3451275,-6.2626961,€6.70,Robbie Mc Guinness,06/10/2017,Robbie Mc Guinness,06/10/2017,,,,,,,,,,,,,,
,The Beer Market,53.3433255,-6.2734068,N.A.,Emmet Sheerin,18/11/2017,Emmet Sheerin,18/11/2017,,,,,,1,,,,,,,,
,Izakaya,53.343277,-6.264238,N.A.,Katie O'Neill,30/11/2017,Katie O'Neill,30/11/2017,,,,,,,1,,,,,,,
,Ukiyo Bar,53.34311,-6.263551,N.A.,Robbie Mc Guinness,29/09/2017,Robbie Mc Guinness,29/09/2017,1,,,,,,,,,,,,,
,Porterhouse Central,53.3430105,-6.2589346,N.A.,Robbie Mc Guinness,16/09/2017,Robbie Mc Guinness,16/09/2017,1,,,,,,,,,,,,,
,Against The Grain,53.3370675,-6.265418,N.A.,Colin O'Callaghan,17/9/2017,Colin O'Callaghan,17/9/2017,,,,1,,,,,,,,,,
,Hamlet Pub,53.6135166,-6.2067373,,,,,,,,,,,,,,,,,,,
,O'Sheas,53.6112542,-6.1785988,,,,,,,,,,,,,,,,,,,
,HOME Nightclub,53.6111428,-6.1786793,,,,,,,,,,,,,,,,,,,
,The Milestone,53.6109545,-6.1850142,,,,,,,,,,,,,,,,,,,
,The Harvest,53.6108839,-6.185501,,,,,,,,,,,,,,,,,,,
,The Central,53.6095796,-6.183495,,,,,,,,,,,,,,,,,,,
,John D's,53.6083218,-6.1831945,,,,,,,,,,,,,,,,,,,
,The White Hart,53.608113,-6.1832546,,,,,,,,,,,,,,,,,,,
,Balrothery Inn,53.5874476,-6.1883073,,,,,,,,,,,,,,,,,,,
,Killian's,53.5861371,-6.2908245,,,,,,,,,,,,,,,,,,,
,Joe Mays,53.5848009,-6.1048772,,,,,,,,,,,,,,,,,,,
,Stoop Your Head,53.584343,-6.1045208,,,,,,,,,,,,,,,,,,,
,The Garristown Inn,53.5673859,-6.3832082,,,,,,,,,,,,,,,,,,,
,Gormleys,53.5664719,-6.3840253,,,,,,,,,,,,,,,,,,,
,Man O'War,53.5617866,-6.1841577,,,,,,,,,,,,,,,,,,,
,The Yacht Bar,53.547431,-6.101565,,,,,,,,,,,,,,,,,,,
,Murtaghs of Ballough,53.5327335,-6.1945474,,,,,,,,,,,,,,,,,,,
,Top Shop,53.526945,-6.166215,,,,,,,,,,,,,,,,,,,
,Murray's Lounge,53.5252866,-6.1653008,,,,,,,,,,,,,,,,,,,
,Oldtown house,53.5250865,-6.3148947,,,,,,,,,,,,,,,,,,,
,The Strand,53.5222844,-6.0924698,,,,,,,,,,,,,,,,,,,
,O'Connors Village Inn,53.5221582,-6.2673311,,,,,,,,,,,,,,,,,,,
,The Strand Bar,53.522087,-6.092269,,,,,,,,,,,,,,,,,,,
,The Michael Collins,53.5219528,-6.0902382,,,,,,,,,,,,,,,,,,,
,Carlyann,53.5219037,-6.0877189,,,,,,,,,,,,,,,,,,,
,Rush Sailing Club Bar,53.5109341,-6.1180099,,,,,,,,,,,,,,,,,,,
,The Brook,53.4947692,-6.110625,,,,,,,,,,,,,,,,,,,
,Keeling's,53.4877247,-6.1484923,,,,,,,,,,,,,,,,,,,
,Smyth's,53.4851554,-6.1510704,,,,,,,,,,,,,,,,,,,
,Waterside Hotel,53.478949,-6.11525,,,,,,,,,,,,,,,,,,,
,The Orchard,53.4712932,-6.2322338,,,,,,,,,,,,,,,,,,,
,The Estuary,53.4630913,-6.2183867,,,,,,,,,,,,,,,,,,,
,Jade Wine Bar,53.4626062,-6.2178791,,,,,,,,,,,,,,,,,,,
,Harp Bar,53.4623533,-6.2179398,,,,,,,,,,,,,,,,,,,
,Graingers The Manor Inn,53.4604175,-6.2449135,,,,,,,,,,,,,,,,,,,
,The Pound,53.4593969,-6.2206917,,,,,,,,,,,,,,,,,,,
,Empire,53.4585864,-6.2209148,,,,,,,,,,,,,,,,,,,
,The Star,53.4584885,-6.2195808,,,,,,,,,,,,,,,,,,,
,Forty Four,53.4575968,-6.2210221,,,,,,,,,,,,,,,,,,,
,The Old Borough,53.4564676,-6.2221965,,,,,,,,,,,,,,,,,,,
,Wright's,53.4562481,-6.2206297,,,,,,,,,,,,,,,,,,,
,The Lord Mayors,53.4548125,-6.2231205,,,,,,,,,,,,,,,,,,,
,Peacocks Steakhouse,53.4527893,-6.2433328,,,,,,,,,,,,,,,,,,,
,Gilbert & Wright,53.4516473,-6.1536822,,,,,,,,,,,,,,,,,,,
,Gibney's,53.4513369,-6.1536307,,,,,,,,,,,,,,,,,,,
,Fowlers,53.4513054,-6.1539054,,,,,,,,,,,,,,,,,,,
,Duffy's,53.4507207,-6.1543829,,,,,,,,,,,,,,,,,,,
,Island View Bar,53.4497245,-6.1412099,,,,,,,,,,,,,,,,,,,
,The Ploughman,53.4458654,-6.2005072,,,,,,,,,,,,,,,,,,,
,The Wright Venue,53.4455023,-6.2237236,,,,,,,,,,,,,,,,,,,
,White House,53.4417816,-6.3386256,,,,,,,,,,,,,,,,,,,
,Tamangoes,53.4353101,-6.1239373,,,,,,,,,,,,,,,,,,,
,Oasis Bar and Grill,53.4351695,-6.1239719,,,,,,,,,,,,,,,,,,,
,Coachmans Inn,53.4324259,-6.2291918,,,,,,,,,,,,,,,,,,,
,Boot Inn,53.4318527,-6.2639303,,,,,,,,,,,,,,,,,,,
,Hollystown Golf Clubhouse,53.4312084,-6.3773606,,,,,,,,,,,,,,,,,,,
,Vertigo Bar,53.4274814,-6.2339754,,,,,,,,,,,,,,,,,,,
,Kealy's,53.4249937,-6.2300441,,,,,,,,,,,,,,,,,,,
,The Golf Links,53.4205196,-6.1377973,,,,,,,,,,,,,,,,,,,
,Campions Pub,53.4089109,-6.1784596,,,,,,,,,,,,,,,,,,,
,The Paddocks,53.4041329,-6.4261771,,,,,,,,,,,,,,,,,,,
,Paidi Ogs,53.4027495,-6.3974174,,,,,,,,,,,,,,,,,,,
,Clonliffe Harriers Club Bar,53.401471,-6.2435544,,,,,,,,,,,,,,,,,,,
,The Deputy Mayor,53.4013079,-6.2973089,,,,,,,,,,,,,,,,,,,
,The Brookwood Inn,53.3995399,-6.3747302,,,,,,,,,,,,,,,,,,,
,The Racecourse Inn,53.3967107,-6.1370502,,,,,,,,,,,,,,,,,,,
,Dusk Nightclub,53.3964581,-6.2149245,,,,,,,,,,,,,,,,,,,
,Newtown House,53.3963925,-6.1888701,,,,,,,,,,,,,,,,,,,
,The Swiss Cottage Pub and Off Licence,53.3957948,-6.2450829,,,,,,,,,,,,,,,,,,,
,The Towers,53.3956063,-6.2653481,,,,,,,,,,,,,,,,,,,
,Sanctuary,53.3955297,-6.3898787,,,,,,,,,,,,,,,,,,,
,The Donaghmede Inn,53.3951322,-6.1625014,,,,,,,,,,,,,,,,,,,
,Finglas Inn,53.3950932,-6.3112416,,,,,,,,,,,,,,,,,,,
,The Willows,53.3932971,-6.2859189,,,,,,,,,,,,,,,,,,,
,Hartstown House,53.3926692,-6.4197547,,,,,,,,,,,,,,,,,,,
,Martin's,53.390639,-6.2880196,,,,,,,,,,,,,,,,,,,
,The Shamrock Lodge,53.3902864,-6.2997612,,,,,,,,,,,,,,,,,,,
,Autobahn Roadhouse,53.3897043,-6.2712214,,,,,,,,,,,,,,,,,,,
,The Elphin,53.3893347,-6.1236878,,,,,,,,,,,,,,,,,,,
,The Cock and Bull Coolock,53.3893099,-6.2007869,,,,,,,,,,,,,,,,,,,
,Light,53.3892559,-6.3887472,,,,,,,,,,,,,,,,,,,
,The Bloody Stream,53.3889795,-6.0743615,,,,,,,,,,,,,,,,,,,
,The Concorde,53.3888986,-6.1809861,,,,,,,,,,,,,,,,,,,
,Lynch's Bayside Inn,53.3888802,-6.1411346,,,,,,,,,,,,,,,,,,,
,Kyle's,53.3888556,-6.2008612,,,,,,,,,,,,,,,,,,,
,The Comet,53.3884557,-6.2459625,,,,,,,,,,,,,,,,,,,
,Edenmore House,53.3882621,-6.1834132,,,,,,,,,,,,,,,,,,,
,O'Connell's,53.388225,-6.0639896,,,,,,,,,,,,,,,,,,,
,The Waterside,53.387775,-6.068756,,,,,,,,,,,,,,,,,,,
,Bottom of the Hill,53.3874456,-6.2971107,,,,,,,,,,,,,,,,,,,
,Harbour Bar,53.3870791,-6.0664186,,,,,,,,,,,,,,,,,,,
,Abbey Tavern,53.386909,-6.0657,,,,,,,,,,,,,,,,,,,
,Greyhound Inn,53.3867697,-6.3778447,,,,,,,,,,,,,,,,,,,
,Ardlea Inn,53.3867314,-6.2115192,,,,,,,,,,,,,,,,,,,
,The Foxhound Inn,53.3859746,-6.1555082,,,,,,,,,,,,,,,,,,,
,The Vineyard,53.3859686,-6.3744104,,,,,,,,,,,,,,,,,,,
,Beaumont House,53.3856539,-6.2329985,,,,,,,,,,,,,,,,,,,
,Matt Weldon's,53.3853244,-6.2656088,,,,,,,,,,,,,,,,,,,
,Nubar,53.3850696,-6.2589215,,,,,,,,,,,,,,,,,,,
,McNeills of Howth,53.3847462,-6.0652494,,,,,,,,,,,,,,,,,,,
,The Bell,53.3847278,-6.3715706,,,,,,,,,,,,,,,,,,,
,Artane House,53.3844321,-6.2141624,,,,,,,,,,,,,,,,,,,
,Brady's,53.384005,-6.3675935,,,,,,,,,,,,,,,,,,,
,The Roundabout,53.383917,-6.2068448,,,,,,,,,,,,,,,,,,,
,The Roselawn Inn,53.3837011,-6.38172,,,,,,,,,,,,,,,,,,,
,Cremore House,53.3823958,-6.2775816,,,,,,,,,,,,,,,,,,,
,Clonsilla Inn,53.3823836,-6.4078378,,,,,,,,,,,,,,,,,,,
,The Twelfth Lock,53.3821395,-6.3672381,,,,,,,,,,,,,,,,,,,
,Quarry House,53.382084,-6.2767253,,,,,,,,,,,,,,,,,,,
,Premier Bar,53.3819717,-6.2917626,,,,,,,,,,,,,,,,,,,
,The Cedar Lounge,53.3812315,-6.1649498,,,,,,,,,,,,,,,,,,,
,The Viscount,53.3809524,-6.2456914,,,,,,,,,,,,,,,,,,,
,The Cock and Bull Raheny,53.3806015,-6.1747884,,,,,,,,,,,,,,,,,,,
,The Goblet,53.3803235,-6.2101031,,,,,,,,,,,,,,,,,,,
,The Watermill,53.3797886,-6.1771249,,,,,,,,,,,,,,,,,,,
,Kavanaghs of Castleknock,53.3777671,-6.3765629,,,,,,,,,,,,,,,,,,,
,Bar@Regency,53.377485,-6.2467271,,,,,,,,,,,,,,,,,,,
,Kitty Kiernans,53.3766457,-6.2231851,,,,,,,,,,,,,,,,,,,
,Goose Tavern,53.3756968,-6.2398873,,,,,,,,,,,,,,,,,,,
,Ramble Inn,53.3754584,-6.2094955,,,,,,,,,,,,,,,,,,,
,Tolka House,53.3738004,-6.2689642,,,,,,,,,,,,,,,,,,,
,Craoibh Chiaráin GAA Club,53.373507,-6.2158181,,,,,,,,,,,,,,,,,,,
,Myos,53.3727605,-6.3624371,,,,,,,,,,,,,,,,,,,
,The Summit Inn,53.3726336,-6.0580717,,,,,,,,,,,,,,,,,,,
,Halfway House,53.3724429,-6.3311386,,,,,,,,,,,,,,,,,,,
,The Carpenter,53.3719777,-6.3891285,,,,,,,,,,,,,,,,,,,
,The Cat and Cage,53.371214,-6.253369,,,,,,,,,,,,,,,,,,,
,The Beachcomber,53.3706991,-6.2061379,,,,,,,,,,,,,,,,,,,
,Breffni Inn,53.370633,-6.3237573,,,,,,,,,,,,,,,,,,,
,The Gravediggers - Kavanagh's,53.3696375,-6.271916,,,,,,,,,,,,,,,,,,,
,Millmount House,53.3689129,-6.2553257,,,,,,,,,,,,,,,,,,,
,Graingers,53.3680334,-6.2268636,,,,,,,,,,,,,,,,,,,
,Bar@Tolka,53.3676758,-6.2512678,,,,,,,,,,,,,,,,,,,
,Fagan's,53.3674788,-6.2559745,,,,,,,,,,,,,,,,,,,
,The Cabra House,53.3674068,-6.2985855,,,,,,,,,,,,,,,,,,,
,Kennedys,53.3671409,-6.2556947,,,,,,,,,,,,,,,,,,,
,E. McGraths,53.3670618,-6.2933093,,,,,,,,,,,,,,,,,,,
,Harry Byrne's,53.3669927,-6.2163962,,,,,,,,,,,,,,,,,,,
,Botanic House,53.3667436,-6.2712435,,,,,,,,,,,,,,,,,,,
,Hole in the Wall,53.3660326,-6.3232856,,,,,,,,,,,,,,,,,,,
,Marino House (Kavanagh's),53.365756,-6.2288162,,,,,,,,,,,,,,,,,,,
,The Brian Boru (P. Hedigan),53.3652867,-6.2721226,,,,,,,,,,,,,,,,,,,
,Porterhouse North,53.3646974,-6.2713722,,,,,,,,,,,,,,,,,,,
,Smith's of Phibsborough,53.3639558,-6.2717388,,,,,,,,,,,,,,,,,,,
,Smyths,53.3633543,-6.2356954,,,,,,,,,,,,,,,,,,,
,Gaffney & Son,53.3630395,-6.236447,,,,,,,,,,,,,,,,,,,
,Finches,53.3629792,-6.2287076,,,,,,,,,,,,,,,,,,,
,Meagher's,53.3628264,-6.2401557,,,,,,,,,,,,,,,,,,,
,Annesley House,53.362621,-6.242264,,,,,,,,,,,,,,,,,,,
,The Homestead,53.3625577,-6.2903186,,,,,,,,,,,,,,,,,,,
,Salmon Leap Inn,53.3624588,-6.4862549,,,,,,,,,,,,,,,,,,,
,The Strawberry Hall,53.3624164,-6.3856639,,,,,,,,,,,,,,,,,,,
,The Yacht,53.3617505,-6.2151527,,,,,,,,,,,,,,,,,,,
,Clonliffe House,53.3612297,-6.2426649,,,,,,,,,,,,,,,,,,,
,Downey's,53.3611609,-6.2830916,,,,,,,,,,,,,,,,,,,
,The Red Parrott,53.3610529,-6.2596585,,,,,,,,,,,,,,,,,,,
,John Doyle,53.3609221,-6.2725085,,,,,,,,,,,,,,,,,,,
,Big Tree Tavern,53.3597953,-6.260942,,,,,,,,,,,,,,,,,,,
,The Hideout House,53.3596909,-6.2569405,,,,,,,,,,,,,,,,,,,
,Pebble Beach,53.3594872,-6.1896797,,,,,,,,,,,,,,,,,,,
,Angler's Rest,53.3591428,-6.3587854,,,,,,,,,,,,,,,,,,,
,Connolly's,53.3591091,-6.1956509,,,,,,,,,,,,,,,,,,,
,The Auld Triangle,53.3590045,-6.2616083,,,,,,,,,,,,,,,,,,,
,Phibsborough House (Clarke's),53.3588257,-6.2734242,,,,,,,,,,,,,,,,,,,
,The Foxhunter,53.3586043,-6.4188935,,,,,,,,,,,,,,,,,,,
,Gill's Corner House,53.3584678,-6.2543617,,,,,,,,,,,,,,,,,,,
,The Hogan Stand,53.358416,-6.255896,,,,,,,,,,,,,,,,,,,
C,W. J. Kavanagh,53.357666,-6.263463,,,,,,,,,,,,,,,,,,,
,Lowry's,53.357574,-6.2483087,,,,,,,,,,,,,,,,,,,
,Cusack's,53.3575123,-6.2424662,,,,,,,,,,,,,,,,,,,
,Hanlon's,53.3574462,-6.2887621,,,,,,,,,,,,,,,,,,,
,Aurora,53.3574023,-6.2641644,,,,,,,,,,,,,,,,,,,
,The Temple,53.3573745,-6.2637676,,,,,,,,,,,,,,,,,,,
,The Bridge Tavern,53.3573001,-6.2489006,,,,,,,,,,,,,,,,,,,
,EpiCentre,53.3572808,-6.2269266,,,,,,,,,,,,,,,,,,,
,Carrolls,53.3572117,-6.4495739,,,,,,,,,,,,,,,,,,,
,Kennys,53.3571718,-6.4502356,,,,,,,,,,,,,,,,,,,
,The Sunset House,53.3570266,-6.2493832,,,,,,,,,,,,,,,,,,,
,The Findlater,53.356953,-6.264515,,,,,,,,,,,,,,,,,,,
,Cú Chulainn's at Croke Park,53.3563652,-6.2507754,,,,,,,,,,,,,,,,,,,
,Palmerstown House,53.3563585,-6.3705141,,,,,,,,,,,,,,,,,,,
,Courtney's,53.3562645,-6.4502352,,,,,,,,,,,,,,,,,,,
,Dead Man's Inn,53.3560785,-6.3978172,,,,,,,,,,,,,,,,,,,
,The Berkeley,53.3560761,-6.2679438,,,,,,,,,,,,,,,,,,,
,Morleys,53.3560423,-6.2507725,,,,,,,,,,,,,,,,,,,
,Clarke's City Arms,53.3560081,-6.2880904,,,,,,,,,,,,,,,,,,,
,Maye's,53.3557864,-6.2652484,,,,,,,,,,,,,,,,,,,
,Delahunty's,53.355613,-6.265773,,,,,,,,,,,,,,,,,,,
,Glynn's,53.355499,-6.26587,,,,,,,,,,,,,,,,,,,
,Ball Alley,53.3554132,-6.4544933,,,,,,,,,,,,,,,,,,,
,The Long Island Bar,53.355365,-6.266071,,,,,,,,,,,,,,,,,,,
,Stoney's,53.3552202,-6.2604108,,,,,,,,,,,,,,,,,,,
,The Strand House,53.3550033,-6.2460175,,,,,,,,,,,,,,,,,,,
,Hill 16,53.3549532,-6.2572254,,,,,,,,,,,,,,,,,,,
,Seabank House,53.3548879,-6.2291889,,,,,,,,,,,,,,,,,,,
,Cumiskey's,53.354343,-6.2720844,,,,,,,,,,,,,,,,,,,
,Cheers,53.3542938,-6.262992,,,,,,,,,,,,,,,,,,,
,Hynes,53.3542365,-6.2866899,,,,,,,,,,,,,,,,,,,
,The Ark,53.3541515,-6.4028674,,,,,,,,,,,,,,,,,,,
,O'Reilley's - The Deer's Head,53.3533856,-6.2601713,,,,,,,,,,,,,,,,,,,
,Kavanagh's,53.3533594,-6.2858818,,,,,,,,,,,,,,,,,,,
,The Metro,53.3532236,-6.2604412,,,,,,,,,,,,,,,,,,,
,Fibber Magee's,53.352912,-6.260365,,,,,,,,,,,,,,,,,,,
,Lloyd's,53.3526642,-6.2492305,,,,,,,,,,,,,,,,,,,
,Mullet's Pub,53.3525997,-6.249261,,,,,,,,,,,,,,,,,,,
,Murrays,53.3523431,-6.2609615,,,,,,,,,,,,,,,,,,,
,Cleary's,53.3523358,-6.2495435,,,,,,,,,,,,,,,,,,,
,The King's Inn,53.352258,-6.269085,,,,,,,,,,,,,,,,,,,
,Barbers,53.3521556,-6.279828,,,,,,,,,,,,,,,,,,,
,Toddy's Bar & Brasserie,53.3518722,-6.2607621,,,,,,,,,,,,,,,,,,,
,Madigans,53.3514331,-6.2605934,,,,,,,,,,,,,,,,,,,
,Madigans Bar & Restaurant,53.3514108,-6.2497907,,,,,,,,,,,,,,,,,,,
,The Vaults,53.3513612,-6.2494796,,,,,,,,,,,,,,,,,,,
,Grainger's,53.3512425,-6.2504008,,,,,,,,,,,,,,,,,,,
,Molloy's,53.3511395,-6.2513336,,,,,,,,,,,,,,,,,,,
,Tommy O'Gara,53.351055,-6.2823239,,,,,,,,,,,,,,,,,,,
,L Mulligan Grocer,53.3509974,-6.2822321,,,,,,,,,,,,,,,,,,,
,Beerhouse,53.350934,-6.270098,,,,,,,,,,,,,,,,,,,
,Mother Kelly's,53.3508694,-6.2529113,,,,,,,,,,,,,,,,,,,
,O'Shea's,53.3508625,-6.2542696,,,,,,,,,,,,,,,,,,,
,The Glimmer Man,53.3508425,-6.2819631,,,,,,,,,,,,,,,,,,,
,Noctor's,53.3507552,-6.2448064,,,,,,,,,,,,,,,,,,,
,Branigan's,53.3504075,-6.2597878,,,,,,,,,,,,,,,,,,,
,J. Walsh & Co.,53.3503669,-6.2816237,,,,,,,,,,,,,,,,,,,
,The Richmond,53.3503544,-6.2746953,,,,,,,,,,,,,,,,,,,
,The Tap,53.3502119,-6.2748187,,,,,,,,,,,,,,,,,,,
,The Brew Dock,53.3501036,-6.2510898,,,,,,,,,,,,,,,,,,,
,Silver Granite,53.3500748,-6.3774029,,,,,,,,,,,,,,,,,,,
,Le Monde,53.350062,-6.252673,,,,,,,,,,,,,,,,,,,
,Madigan's,53.350038,-6.259441,,,,,,,,,,,,,,,,,,,
,Delaneys,53.3498707,-6.2788764,,,,,,,,,,,,,,,,,,,
,The Green Room,53.3498005,-6.2299289,,,,,,,,,,,,,,,,,,,
,The Black Sheep,53.3497856,-6.2691542,,,,,,,,,,,,,,,,,,,
,Villager Inn,53.3496727,-6.3444019,,,,,,,,,,,,,,,,,,,
,La Cuvée,53.3496228,-6.2437451,,,,,,,,,,,,,,,,,,,
,Lagoona,53.3496181,-6.2430718,,,,,,,,,,,,,,,,,,,
,The Capel,53.3492625,-6.2704646,,,,,,,,,,,,,,,,,,,
,ely,53.34921,-6.248099,,,,,,,,,,,,,,,,,,,
,The Sackville Lounge,53.348973,-6.258864,,,,,,,,,,,,,,,,,,,
,Oscars,53.348862,-6.2785235,,,,,,,,,,,,,,,,,,,
,Hemidemisemiquaver Bar,53.3487544,-6.2285572,,,,,,,,,,,,,,,,,,,
,Madigan's,53.348672,-6.258702,,,,,,,,,,,,,,,,,,,
,Mullingar House,53.3484058,-6.342364,,,,,,,,,,,,,,,,,,,
,The Pint,53.3483395,-6.2560034,,,,,,,,,,,,,,,,,,,
,The Grand Central Bar,53.3483218,-6.2591879,,,,,,,,,,,,,,,,,,,
,Nancy Hand's,53.3482141,-6.293962,,,,,,,,,,,,,,,,,,,
,Judge Darley's,53.3480637,-6.2897384,,,,,,,,,,,,,,,,,,,
,The Millenium,53.3480466,-6.2900462,,,,,,,,,,,,,,,,,,,
,Lanigans,53.3479963,-6.2578841,,,,,,,,,,,,,,,,,,,
,Clifton Court Bar,53.3479727,-6.257976,,,,,,,,,,,,,,,,,,,
,Bridge Inn,53.3477481,-6.3457934,,,,,,,,,,,,,,,,,,,
,H. Mathews,53.3474758,-6.2815985,,,,,,,,,,,,,,,,,,,
,Bachelor Inn,53.347467,-6.2601796,,,,,,,,,,,,,,,,,,,
,O'Connell's,53.3474403,-6.2602855,,,,,,,,,,,,,,,,,,,
,The Penny Hill,53.3473896,-6.4238869,,,,,,,,,,,,,,,,,,,
,McGettigans,53.3473094,-6.2802575,,,,,,,,,,,,,,,,,,,
,Arlington Bar & Restaurant,53.3472913,-6.2609008,,,,,,,,,,,,,,,,,,,
,Knightsbridge Bar,53.3472531,-6.2609685,,,,,,,,,,,,,,,,,,,
,Dice Bar,53.3471088,-6.2803579,,,,,,,,,,,,,,,,,,,
,O'Reilly's Sub Lounge,53.3470972,-6.254074,,,,,,,,,,,,,,,,,,,
,The Mission,53.3470952,-6.2836885,,,,,,,,,,,,,,,,,,,
,Frank Ryan's,53.3470056,-6.2800493,,,,,,,,,,,,,,,,,,,
,River Bar,53.3468848,-6.2584276,,,,,,,,,,,,,,,,,,,
,Galway Hooker (Carvery Bar),53.3467462,-6.2924467,,,,,,,,,,,,,,,,,,,
,Fitzgerald's,53.3466376,-6.2596538,,,,,,,,,,,,,,,,,,,
,Panti Bar,53.3466109,-6.2677926,,,,,,,,,,,,,,,,,,,
,Tramline,53.3465386,-6.2572609,,,,,,,,,,,,,,,,,,,
,Play Night Club,53.3464453,-6.2578726,,,,,,,,,,,,,,,,,,,
,Cassidy's,53.34635,-6.2588755,,,,,,,,,,,,,,,,,,,
,Gypsy Rose Rock and Blues Bar,53.3462348,-6.261398,,,,,,,,,,,,,,,,,,,
,Pifko Bar,53.3460172,-6.2802844,,,,,,,,,,,,,,,,,,,
,O'Sullivan's,53.3460124,-6.2594584,,,,,,,,,,,,,,,,,,,
,Ruin Bar,53.3459878,-6.2553324,,,,,,,,,,,,,,,,,,,
,Merchant's Arch,53.3459235,-6.262875,,,,,,,,,,,,,,,,,,,
,Ned's,53.3459067,-6.2519855,,,,,,,,,,,,,,,,,,,
,Fibbers Rock Bar,53.3457761,-6.2711082,,,,,,,,,,,,,,,,,,,
,O'Donohoe's,53.3457256,-6.2576811,,,,,,,,,,,,,,,,,,,
,The Legal Eagle,53.345711,-6.2721255,,,,,,,,,,,,,,,,,,,
,O'Reilly Bros.,53.3456393,-6.2717761,,,,,,,,,,,,,,,,,,,
,The Liquor Rooms,53.345308,-6.2671118,,,,,,,,,,,,,,,,,,,
,The Wind Jammer,53.3452765,-6.2483476,,,,,,,,,,,,,,,,,,,
,Porterhouse,53.3451283,-6.2674278,,,,,,,,,,,,,,,,,,,
,O'Shea's Merchant,53.3451273,-6.2757517,,,,,,,,,,,,,,,,,,,
,Vintage Cocktail Club,53.3450767,-6.2629605,,,,,,,,,,,,,,,,,,,
,Bad Bobs Temple Bar,53.3450328,-6.2659898,,,,,,,,,,,,,,,,,,,
,Brazen Head,53.3449779,-6.276351,,,,,,,,,,,,,,,,,,,
,The Czech Inn,53.3449133,-6.2679467,,,,,,,,,,,,,,,,,,,
,Senior Common Room,53.3448626,-6.2575823,,,,,,,,,,,,,,,,,,,
,The Trinity Inn,53.3448371,-6.2521202,,,,,,,,,,,,,,,,,,,
,Club M,53.3448128,-6.2623304,,,,,,,,,,,,,,,,,,,
,Turk's Head,53.3447932,-6.2676803,,,,,,,,,,,,,,,,,,,
,McGrath's,53.3446958,-6.3978322,,,,,,,,,,,,,,,,,,,
,The Mezz,53.3446793,-6.2646857,,,,,,,,,,,,,,,,,,,
,The Vat House,53.3446258,-6.2619853,,,,,,,,,,,,,,,,,,,
,Sin,53.3445794,-6.2658339,,,,,,,,,,,,,,,,,,,
,The Front Lounge,53.3444281,-6.267547,,,,,,,,,,,,,,,,,,,
,The Back Lounge,53.3443688,-6.2679333,,,,,,,,,,,,,,,,,,,
,Citi Bar,53.3443064,-6.263706,,,,,,,,,,,,,,,,,,,
,Underdog,53.344295,-6.266337,,,,,,,,,,,,,,,,,,,
,Brogan's Bar,53.3442904,-6.2663911,,,,,,,,,,,,,,,,,,,
,The Oak,53.3442781,-6.2669965,,,,,,,,,,,,,,,,,,,
,Peadar Kearney's,53.344272,-6.265415,,,,,,,,,,,,,,,,,,,
,Thomas Read's,53.344215,-6.2671595,,,,,,,,,,,,,,,,,,,
,The Lombard,53.3441892,-6.2490239,,,,,,,,,,,,,,,,,,,
,Forum Bar,53.3440629,-6.2685415,,,,,,,,,,,,,,,,,,,
,Darkey Kelly's,53.3439563,-6.2699696,,,,,,,,,,,,,,,,,,,
,Dame Tavern,53.343795,-6.2639138,,,,,,,,,,,,,,,,,,,
,The George,53.3437938,-6.2646675,,,,,,,,,,,,,,,,,,,
,J.T. Pims,53.3437169,-6.2642961,,,,,,,,,,,,,,,,,,,
,McCanns,53.343539,-6.289078,,,,,,,,,,,,,,,,,,,
