,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,Ryan's Store Street,53.3513605,-6.2513919,€5.00,Robbie Mc Guinness,10/09/2017,Robbie Mc Guinness,10/09/2017,1,,,,,,,,,,,,,
,The Woolshed,53.3502723,-6.2671226,€5.00,James Bingham,16/11/2017,James Bingham,16/11/2017,,1,,,,,,,,,,,,
,The Oval,53.3484553,-6.2603205,€5.00,James Bingham,7/12/2017,James Bingham,7/12/2017,,1,,,,,,,,,,,,
,Token,53.3475982,-6.2802749,€5.00,Colin O'Callaghan,12/09/2017,Colin O'Callaghan,23/09/2017,1,,,2,1,,,,,,,,,
,The Workshop,53.3473273,-6.2547825,€5.00,Robbie Mc Guinness,08/09/2017,Robbie Mc Guinness,08/09/2017,1,,,,,,,,,,,,,
,The Boat,53.3470317,-6.2376973,€5.00,James Bingham,21/09/2017,James Bingham,21/09/2017,,1,,,,,,,,,,,,
,M. Hughes,53.3469584,-6.2723297,€5.00,Bill O'Clerigh,23/09/2017,Bill O'Clerigh,23/09/2017,1,,,1,1,,,,,,,,,
,Lafayette,53.3465537,-6.2588386,€5.00,James Bingham,21/09/2017,James Bingham,21/09/2017,,1,,,,,,,,,,,,
,Jack Nealon,53.3463804,-6.2682306,€5.00,Daniel Purdy,20/09/2017,Katie O'Neill,11/11/2017,,,1,,,,1,,,,,,,
,Chaplin's,53.3462012,-6.2572218,€5.00,Robbie Mc Guinness,28/09/2017,Robbie Mc Guinness,09/12/2017,1,,,,,,,,,,,,,
,Ha'penny Bridge Inn,53.345849,-6.2633708,€5.00,,,,,,,,,,,,,,,,,,
,Oscars Christchurch,53.3441347,-6.2697764,€5.00,Robbie Mc Guinness,26/07/2017,Robbie Mc Guinness,26/07/2017,1,,,,,,,,,,,,,
,Tivoli Backstage,53.3424336,-6.2753495,€5.00,Emmet Sheerin,18/11/2017,Emmet Sheerin,18/11/2017,,,,,,1,,,,,,,,
,Lincoln's Inn,53.3420082,-6.2525255,€5.00,Emmet Sheerin,14/09/2017,Emmet Sheerin,14/09/2017,,,,,,1,,,,,,,,
